01-EI-000052,THE LEWIS COLLEGE,BIE,"Nat'l Rd., cor S.J. Nicolas,","Balogo, Sorsogon City",, ,
01-DM-000042,GRABSUM SCHOOL,BIE,"(Formely Candelaria Kiddie L.C.),Sto. Nino St.,Masalukot I","Candelaria, Quezon",, ,
01-EF-000003,AQUINAS UNIV. SCIENCE ORIENTED H.S.,BIE,,"Rawis, Legazpi City",OP - Trinity,Legazpi,
01-DM-000131,SOUTHERN LUZON POLYTECHNIC COLLEGE,BIE,(Fmly:Southern Luzon Polytechnic Coll),"Lucban-Tayabas Road,, Quezon",, ,
01-DB-000020,BLESSED CHRIST CHILD MONTESSORI FDT.,BIE,"Bagong Calzada,Ermita","Balayan, Batangas", , ,PRISAAB
01-DH-000035,ST. PHILOMENA SCHOOL,BIE,"1106 Sampaguita St., North Employee","Village, Lucena City",, ,LCAPS
01-DM-000084,MANUEL ENVERGA UNIV.-CATANAUAN,BIE,"Brgy. 09,Poblacion,","Catanauan, Quezon",, ,
01-EA-000006,BICOL UNIV. COLLEGE (BUCEILS)-DARAGA,BIE,"Sagpon,","Sagpon, Daraga, Albay",, ,
01-EI-000054,VIP LEARNING CENTER,BIE,Rizal Street,"Rizal St., Sorsogon City",, ,
01-DH-000026/01-DH-000027,PHIL. TONG HO INSTITUTE (E/HS),BIE,"cor Perez Merchant St.,",Lucena City,, ,LCAPS
01-EH-000005,BLESSED LIGHT INT'L CHRISTIAN ACAD.,BIE,,"Concepcion, Naga City",, ,
01-EH-000025,NAGA CITY SCIENCE HIGH SCHOOL,BIE,"Leon Sa Aureo St.,","Jimenes Park Subd., Naga City",, ,
01-DM-000143,ST. JOHN PAROCHIAL SCHOOL,BIE,"J.P. Rizal St.,","Tiaong, Quezon",OP-SIENA, ,LUDICSA
01-DM-000046,HOLY CHILD JESUS COLLEGE (E/HS),BIE,"Padre Burgos St.,","Gumaca, Quezon",,Gumaca,
01-DM-000108,OUR LADY OF ANGELS ACAD. (E/H),BIE,"126 Quezon Street,Zone II","Atimonan, Quezon",MCST,Lucena,LUDICSA
01-DM-000012,CASA DEL NINO JESUS DE LUCBAN,BIE,"Poctoy,","Odiongan, Romblon", ,Lucena,LUDICSA
01-EB-000037,ST. PETER KIDDIE - VINZON'S,BIE,,Vinzon's Camarines Norte, , ,
01-EI-000022/01-EI-000023,HOLY SPIRIT ACAD. OF IROSIN-E/HS,BIE,"Magsaysay St.,","Irosin, Sorsogon",SSpS,Sorsogon,
01-DB-000038,CHRISTIAN COLLEGE OF TANAUAN,BIE,,"Tanauan, Batangas",, ,
01-DB-000144,ST. BRIDGET COLLEGE-ALITAGTAG CAMPUS,BIE,Brgy.Dominador East,"Alitagtag, Batangas",RGS, ,
01-EC-000095,KING THOMAS LEARNING ACADEMY,BIE,,,,,
01-EH-000036,ST. RAPHAELA MARIA KINDERGARTEN,BIE,(Frmly:St. Raphaela Maria Kindergarten),"Sabang, Naga City", ,Caceres,
01-DM-000113,PAROCHIAL SCHOOL OF CATANAUAN,BIE,"PSC Bldg.,Dona Carmen,05","Catanauan, Quezon", ,Gumaca,
01-DM-000025,DOMINICAN ACADEMY OF UNISAN,BIE,"Brgy. Lohos,","Romblon, Romblon",OP DOMINICAN,,LUDICSA
01-DG-000018,LIPA ADVENTIST ACADEMY,BIE,"Bugtong, Lipa City,4217,","Bugtong, Lipa City", , ,
01-DH-000012,HOLY ROSARY CATHOLIC SCHOOL,BIE,"Cor. Quezon Ave.,",Lucena City,OP DOMINICAN,,LUDICSA
01-EA-000039,MARY'S CHILD LEARNING CENTER,BIE,"First Park Subd.,Sagpon","Daraga, Albay", , ,
01-DM-000085,MARY IMMACULATE PAROCHIAL SCH.,BIE,"Bry. Rodriguez,","Macalelon, Quezon", ,Gumaca,
01-DM-000029/01-DM-000030,EASTERN QUEZON COLLEGE (E/HS),BIE,"32nd St., NAC Tower","BGC, Taguig City",, ,
01-DH-000029,SACRED HEART COLLEGE,BIE,"Perez Merchan St.,",Lucena City,DC,Lucena,LUDICSA
01-DM-000142,ST. JOHN BOSCO ACADEMY (E/HS),BIE,"Poblacion Church,","Brgy. San Roque, Tayabas, Quezon",MCST,Lucena,LUDICSA
01-DM-000174,MANUEL S. ENVERGA ACADEMY FOUNDATION,BIE,"Cor.Gagan-Obnamia St.,","Sampaloc, Quezon",,,
01-DH-000008,CHRIST THE LORD INSTITUTE,BIE,"Maharlika Hiway,","Ibabang Iyam, Lucena City",, ,LCAPS
01-EC-000091,KURTLAND KINDERGARTEN,BIE,(frmly: Kurtland Kindergarten),"Baras, Canaman, Camarines Sur",, ,
01-EF-000031,REYES COMPUTER ORIENTED SCHOOL,BIE,"Binanuahan West,",Legazpi City,, ,
01-EI-000051,ST. LOUISE DE MARILLAC-SORSOGON-E/H,BIE,(Formerly Col. dela Milagrosa),"Burgos St.,Talisay, Sorsogon City",DC,Sorsogon,
01-EH-000034,SOUTHBRIDGES LEARNING CENTER,BIE,"Corner Sierra Madre St.,","Mayon Ave., Naga City",, ,
01-DM-000107,OUR LADY OF SORROWS ACADEMY (H),BIE,"Cauyan St., Dolores,",Quezon, ,Lucena,LUDICSA
01-EI-000001/01-EI-000002,AEMILIANUM COLLEGE (E/HS),BIE,"17th St., OLV Pangpang,","Piot, Sorsogon, Sorsogon",CRS, ,
01-DM-000089/01-DM-000050,MOST HOLY ROSARY PAROCHIAL SCHOOL,BIE,"Convento St.,Talolong","Lopez, Quezon",MCST,Gumaca,
01-DH-000037,YOUNG LEARNERS HOUSE,BIE,"Enverga Blvd., ",Lucena City,, ,LCAPS
01-EC-000049/01-EC-000050,PARTIDO MISSION ACADEMY (E/HS)(FORMERLY TIGAON SDA SCHOOL),BIE,(Formerly: Tigaon SDA School),"Talojongon St.,Tigaon, Camarines Sur",, ,
01-EE-000006,MODERN LEARNING CENTER,BIE,"San Nicolas,",Iriga City,, ,
01-DM-000014,CASA DEL NINO JESUS DEPAGBILAO,BIE,"Dapawan,","Odiongan, Romblon", ,Lucena,LUDICSA
01-EA-000003,ALETHEIA CHILD TRAINING SCHOOL,BIE,Tuburan,"Ligao City, Albay",, ,
01-DM-000126,SARIAYA CONSERVATIVE BAPTIST X'TIAN SCH.,BIE,"37 Rodriguez St.,","Marichi Subd., Sariaya, Quezon",, ,
01-DM-000095,MT. CARMEL HIGH SCH.-POLILLO,BIE,"San Jose,Poblacion","Polillo, Quezon",,Infanta,CASPI
01-DM-000038,FROEBELIAN SCHOOL OF CALAUAG,BIE,"Don Pedro St., Pica Extension","Calauag, Quezon",, ,
01-EF-000016,LEGAZPI HOPE CHRISTIAN SCHOOL,BIE,St. Vincent Village,Legazpi City,, ,
01-DM-000124,SAN FRANCISCO PAROCHIAL SCHOOL,BIE,"Aguila St., Brgy. Poblacion","San Francisco, Quezon", ,Gumaca,
01-DM-000071,LUCBAN ACADEMY,BIE,"77 Brgy.San Luis,","Lucban, Quezon",, ,LUPRISA
01-DH-000032,ST. ANNE COLLEGE,BIE,"Coll. Business Ctr.-Diversion Rd.,","Brgy. Gulang-Gulang, Lucena City",, ,LCAPS
01-DM-000051,HOLY SPIRIT LEARNING OF SARIAYA,BIE,"23 Magdami St.,","Sariaya, Quezon",, ,
01-DM-000151,ST. PETER SCHOOL (HS),BIE,"Rizal St.,","Calauag, Quezon", ,Gumaca,
01-DM-000026,DON ISIDRO MEMORIAL SCH. (E/H),BIE,Brgy. Lusacan,"Tiaong, Quezon",, ,
01-DM-000073,LUCBAN CHRISTIAN SCHOOL,BIE,"Rizal Ave.,","Brgy. Abang, Lucban, Quezon", , ,LUPRISA
01-EA-000073,TABACO PEI CHING SCHOOL (E/HS),BIE,"Tomas Cabiles St.,","Tabaco, Albay",, ,
01-DM-000166,MANUEL L. QUEZON ELEM. SCHOOL,BIE,"Del Valle St.,","Candelaria, Quezon",, ,
01-EE-000007,RINCONADA ALLIED CULTURAL SCH.,BIE,"San Jose, Camarines Sur,","San Jose, Iriga City",, ,
01-DM-000057,KIDDIE CORNER KINDERGARTEN SCH,BIE,"Villa Rosario Subd., 3rd St.,","Tiaong, Quezon",, ,
01-EG-000034,SACRO COSTATO SCHOOL,BIE,"E.Montemurro Drive,Cagba,Tugbo,","Cagba, Masbate City",,,
01-DM-000121,QUEZONIAN COLLEGE (HS),BIE,,"Atimonan, Quezon",, ,
01-DM-000090,MOTHER PERPETUA PAROCHIAL SCHOOL,BIE,"cor Gomez & Burgos St.,","Mauban, Quezon",,Lucena,LUDICSA
01-DM-000172,INFANTA CENTRAL SCHOOL,BIE,"Balagtas,Poblacion 39","Infanta, Quezon",, ,
01-EB-000028,SAN VICENTE PAROCHIAL SCHOOL (HS),BIE,,"San Vicente, Camarines Norte",,Daet,
01-DM-000150,ST. PETER CATHOLIC SCHOOL OF MULANAY,BIE,"Libetad St.,","Mulanay, Quezon", ,Gumaca,
01-DM-000133,ST. ALOYSIUS GONZAGA PAROCHIAL SCHOOL,BIE,A26 Jose Rizal St. Poblacion,"4319 Guinayangan, Quezon", ,Gumaca,
01-EA-000083,ARISE AND SHINE CHRISTIAN SCHOOL-LIGAO,BIE,"36- Washington St.,","Sta. Cruz, Ligao City, Albay",,,
01-DM-000170,CALAUAG CENTRAL COLLEGE (HS),BIE,"Rizal Street,","Calauag, Quezon",, ,
01-DM-000039,GAUDETTE STUDY CENTER,BIE,"28 Mayo St.,","Poblacion 4, Tiaong, Quezon",, ,
01-DM-000102,NEWTON'S APPLE SCIENCE SCHOOL,BIE,"Brgy. Bukal Sur Taguan,","Nat'l Hiway, Candelaria, Quezon",, ,
01-DM-000092,MOUNT CARMEL HIGH SCHOOL-BURDEOS,BIE,"Poblacion,","Burdeos, Quezon",MSM,Infanta,CASPI
01-DM-000171,SOUTHSIDE INTEGRATED SCHOOL,BIE,"Southville Subd.,","Brgy. Lusacan, Tiaong, Quezon",, ,
01-DM-000129,SOUTHERN LUZON ACADEMY,BIE,"D. Carmen St.,","Catanauan, Quezon", , ,
01-EA-000030/01-EA-000031,IMM. CONCEPCION COLLEGE (E/HS),BIE,"Rizal St.,","Daraga, Albay",, ,
01-EG-000008,LICEO DE SAN JOSE,BIE,,, ,Masbate,
01-EI-000025,IMM. HEART OF MARY SCHOOL-SORSOGON,BIE,"Dapdap,","Bulusan, Sorsogon",SFSC,Sorsogon,
01-DM-000140,ST. IGNATIUS PAROCHIAL SCH.-GEN. LUNA,BIE,"Perez St., Brgy. 4, Poblacion,","General Luna, Quezon", ,Gumaca,
01-DH-000013,INFANT JESUS MONTESSORI CTR.,BIE,"1329 Galleon St.,","North Employee Vill., Lucena City",, ,LCAPS
01-EA-000076/01-EA-000075,UNITED INSTITUTE SCHOOL (E/HS),BIE,"J.P. Rizal,","Daraga, Albay",, ,
01-EC-000006,BUHI INSTITUTE FOUNDATION,BIE,"Zone 5,San Buenaventura","Buhi, Camarines Sur",, ,
01-DH-000021,MAGILL MEMORIAL SCHOOL,BIE,"150 Quezon Ave.,",Lucena City,, ,LCAPS
01-DC-000041,GOOD SHEPHERD CHRISTIAN ACAD.-BATANGAS,BIE,"Arce Subd., Arce,",Batangas City,,,
01-EA-000015,DANIEL B. PENA MEM'L.COLL.FDT.,BIE,"Ziga Avenue,","Tabaco City, Albay",, ,
01-EC-000076,ST. JUDE THADDEUS LEARNING CENTER,BIE,"Cuba St., San Nicolas,","Nabua, Camarines Sur",, ,
01-DM-000004,BANAHAW VIEW ACADEMY,BIE,"F.Fetalino Poblacion,","Calatrava, Romblon",, ,LUPRISA
01-DM-000101,NEW JERUSALEM SCHOOL,BIE,"Villanueva St.,Brgy. San Lorenzo,","Lopez, Quezon",, ,
01-DM-000082,MANUEL S. ENVERGA INST. - SAN ANTONIO,BIE,"Quizon St.,Poblacion,","San Antonio, Quezon",, ,
01-EC-000011,CAMARINES SUR STATE AGR'L COLL(LAB-SCH.),BIE,"San Jose,","Pili, Camarines Sur",, ,
01-EA-000048,PIAMONT SCIENCE ORIENTED FOR KIDS,BIE,,"792 Alcala, Daraga, Albay",, ,
01-DM-000097,MT. SINAI CHRISTIAN SCHOOL,BIE,"Christ the Answer Compound,","Lucban, Quezon",, ,
01-EA-000047,OUR LADY OF THE ROSES MONT.SCH-OAS,BIE,"Ilaon Sur,","Oas, Albay",, ,
01-EI-000029,MAPLE SCHOOL OF SORSOGON,BIE,,"Sorsogon City, Sorsogon",, ,
01-DH-000030,SCOULA GESU BAMBINO,BIE,"Barcelona Compound, 0611 Old Manila South Road ","Brgy. Isabang, Lucena City",,Lucena,LUDICSA
01-DM-000169,IMMACULATE CONCEPTION EVANGELIZATION SCH,BIE,,,LUDICSA, ,
01-EA-000077,VIRGIN OF CARMEL HIGH SCHOOL,BIE,"National Road,Polacion,Tigbi,","Tiwi, Albay",AR, ,
01-EI-000013,DOMINICAN SCHOOL OF PILAR (HS),BIE,"Banuyo Poblacion,","Pilar, Sorsogon",OP-SIENA,Sorsogon,
01-EI-000034,NEW JERUSALEM  SCHOOL,BIE,"#234 Gomez St.,Zone 4","Bulan, Sorsogon",, ,
01-EG-000009,LICEO DE BALENO,BIE,,, ,Masbate,
01-EA-000052,RICHMINDS LEARNING CENTER,BIE,(Fmly: Richkiddie L.C.),"San Francisco,Guinobatan, Albay",, ,
01-EC-000041,NAZARETH INSTITUTE OF LRNG & FORMATION,BIE,Nazareth Convent,"Tara,Sipocot, Camarines Sur", , ,
01-DH-000015,JIL CHRISTIAN SCHOOL-LUCENA CITY,BIE,"243-E Branel St.,",Lucena City,, ,LCAPS
01-EC-000029,JESUS THE LOVING SHEPHERD CHRISTIAN,BIE,"(Shepherd Christian Sch.) Talojongon,","Tigaon, Camarines Sur",, ,
01-EI-000056,BULAN CHRISTIAN LEARNING CENTER,BIE,"Concepcion St., Zone 1,",Bulan. Sorsogon,,,
01-DM-000013,CASA DEL NINO JESUS DE TAYABAS,BIE,,"Tayabas, Quezon", ,Lucena,LUDICSA
01-EC-000096,"LITTLE BLESSING LEARNING CENTER, INC.",BIE,"60 San Antonio St.,","Ocampo, Camarines Sur",,,
01-DM-000094,MOUNT CARMEL HIGH SCHOOL-INFANTA,BIE,"Poblacion 38,","Infanta, Quezon",,Infanta,CASPI
01-DM-000093,MOUNT CARMEL HIGH SCHOOL-GEN NAKAR,BIE,"Anoling,","General Nakar, Quezon",,INFANTA,CASPI
01-EA-000069,SUNSHINE INTERNATIONAL SCHOOL,BIE,"Fernando Ave., Dona Maria Subd.,","Ph-II., Daraga, Albay",, ,
01-DM-000118,"POLILLO ADVENTIST INSTITUTE, INC.",BIE,"Brgy. Banadero,","Polillo, Quezon",, ,
01-EC-000065,SERRANZ LEARNING CENTER,BIE,"San Bartolome St.,","Sipocot, Camarines Sur",, ,
01-EC-000086,STO. DOMINGO INSTITUTE (HS),BIE,Sto. Domingo,"Nabua, Camarines Sur",, ,
01-EI-000024,IMM. CONCEPCION LEARNING CENTER,BIE,"Immaculate Concepcion Subd.,","Bulan, Sorsogon",, ,
01-ED-000010,CATANDUANES STATE COLL.-PANGANIBAN,BIE,,,, ,
01-EB-000050,OUR LADY OF THE HOLY BIBLE LEARNING CTR.,BIE,"(Auntie Nel's) Vibar Village II,","Mercedes, Camarines Norte",, ,
01-DM-000027,E. COJUANGCO JR. GRADE SCHOOL,BIE,"Konnichiwa Bldg., Dapawan,",Odiongan Romblon,, ,
01-EE-000012,UNIV. OF NORTHEASTERN PHILS.,BIE,,Iriga City,, ,
01-EA-000056,SPECTRUM LEARNING CENTER,BIE,"Tigbi,","Tiwi, Albay",, ,
01-EA-000082,CDLC SMART KIDS LEARNING SCHOOL,BIE,,,,,
01-DB-000210,ANGEL'S LOVE DAY CARE CENTER,BIE,,,, ,
01-EI-000037,PACIFIC VIEW ACADEMY,BIE,"Banuang Daan,","Matnog, Sorsogon",, ,
01-EF-000022,PEP LEARNING CENTER,BIE,214 D. Aquende Drive,"Cruzada St., Legazpi City",, ,
01-EC-000058,PORT JUNCTION SDA M-GRADE SCHOOL,BIE,"Port Junction Norte,","Ragay, Camarines Sur", , ,
01-EA-000043,OUR CHILDREN'S MONTESSORI INC.,BIE,"Samson St., Sta. Cruz,","Ligao City, Albay",, ,
01-EC-000023,GOODSTART LEARNING CENTER,BIE,"Inapatan,","Nabua, Camarines Sur",, ,
01-EI-000057,YELLOW WOODS EDUCATIONAL CENTER,BIE,"95 Diversion Road, Malabog,",Sorsogon City,,,
01-EI-000044,ST. ANTHONY ACADEMY,BIE,,"Gubat, Sorsogon",DC,Sorsogon,
01-EH-000044,"GRACIAN MONTESSORI, INC.",BIE,,,, ,
01-EB-000046,MAM BOLENG LEARNING CENTER,BIE,,,, ,
01-EG-000011,LICEO DE MASBATE (E/HS),BIE,,, , , 
01-DM-000040,"GEZU BAMBINO PAROCHIAL SCHOOL, INC.",BIE,"Brgy. Bagong Anyo,","Dolores, Quezon", ,Lucena,LUDICSA
01-EB-000049,HOWARD MONTESSORI SCHOOL,BIE,,,, ,
01-DM-000002,AL-CASTLE EDUCATIONAL SCHOOL,BIE,"J.P. Rizal St., Tabing Dagat,","PIC, Odiongan, Romblon",, ,
01-EC-000072,ST. JOHN THE BAPTIST INTEGRATED SCHOOL,BIE,"San Isidro St.,","San Isidro St., Goa, Camarines Sur",, ,
01-DM-000105,OUR LADY OF LOURDES ACAD. (HS),BIE,"Brgy. Poblacion, Gulf View Subd.,","Tagkawayan, Quezon",, ,
01-EB-000038,SUNNY GARDEN SCHOOL,BIE,"Luisito St.,","Daet, Camarines Norte",, ,
01-EA-000028,HOLY FAMILY SCHOOL-ALBAY,BIE,Panal,"Tabaco, Albay",, ,
01-DH-000003,BRISTOL INTEGRATED SCHOOL,BIE,"Km 133 Diversion Rd.,","Kanlurang Mayao, Lucena City",, ,LCAPS
01-DM-000034,ESCUELA DE IMMACULADA CONCEPTION,BIE,"1st St., Villa Rosario Subd.,","Tiaong, Quezon",, ,
01-EC-000081,ST. SALOME EARLY RISER MONT. SCHOOL,BIE,Poblacion Ilaod,"Ragay, Camarines Sur", ,NON-SEC,
01-DM-000055,INFANTA GOOD SHEPHERD CHRISTIAN SCHOOL,BIE,"Mabini St.,","Infanta, Quezon (near Nat'l H.S.)", , ,
01-EI-000049,ST. LOUISE DE MARILLAC - BULAN,BIE,"Gerona St.,Zone 3,","CIC, Bulan, Sorsogon",DC, ,
01-EF-000006,COMPUTER ARTS & TECHNOLOGY SCI. COLL.,BIE,"Balintawak St., Albay District",Legazpi City,, ,
01-EB-000041,VINZON'S PAROCHIAL SCHOOL,BIE,(Frmly:Scoula Nostra Signora di Fatima),"Centro, Vinzon's, Camarines Norte", , ,
01-DM-000141,ST. ISIDORE DIOCESAN SCHOOL,BIE,,"Patnanungan, Quezon  4341", ,Infanta,CASPI
01-EB-000047,HOLY INFANT JESUS LEARNING CENTER,BIE,"Bagasbas Rd.,","Daet, Camarines Norte",, ,
01-DM-000070,LORD'S ANGEL LEARNING SCHOOL-PAGBILAO,BIE,,"Pagbilao, Quezon",, ,
01-EG-000006,HOLY NAME ACADEMY (HS),BIE,"Brgy.Poblacion,Palanas 5404","Palanas, Masbate",,,
01-DM-000096,MT. CARMEL SEMINARY-SARIAYA,BIE,Brgy. Tumbaga,"Sariaya, Quezon", ,Lucena,LUDICSA
01-EI-000036,OUR LADY OF PENAFRANCIA SEMINARY,BIE,"Bibingchan,","Sorsogon City, Sorsogon",, ,
01-EG-000012,LICEO DE SAN JACINTO FOUNDATION INC.,BIE,"Almonte St., Brgy. District 3,","San Jacinto, Masbate",,,
01-EI-000055,SORSOGON STATE COLLEGE,BIE,,,, ,
01-DM-000147,ST. LAWRENCE ACADEMY,BIE,"Poblacion,","Buenavista, Quezon",, ,
01-EH-000017,MARIAN FORMATION CENTER-NAGA CITY,BIE,"Zone 1, San Felipe",Naga City, , ,
01-EB-000007,CAPALONGA PAROCHIAL SCHOOL (E/H),BIE,Poblacion,"Capalonga, Camarines Norte", ,Daet,
01-EA-000014,CREATIVE LEARNING SCHOOL OF TABACO,BIE,,"Tabaco, Albay",, ,
01-EF-000010,FIRST PILGRIMS FAITH BAPTIST ACADEMY,BIE,"Purok 8, San Vicente St.,","Bigaa, Legazpi City",, ,
01-EB-000015,ICL SCHOOL,BIE,(Fmrly:St. Ignatius Child L.C.),"Brgy. Lag-on, Daet, Camarines Norte",, ,
01-DH-000020,LUCENA HOPE ACADEMY,BIE,"L-7 B-8 Kalayaan Ave., Ph-5-A","Calmar Homes, Lucena City",, ,LCAPS
01-DM-000109,OUR LADY OF VICTORIOUS INTEG. SCHOOL,BIE,"Wakas,","Tayabas, Quezon",, ,
01-DM-000053,IEMELIF LEARNING CENTER OF TAGKAWAYAN,BIE,"Zone 5, Sta. Cecilia","Tagkawayan, Quezon",, ,
01-EG-000032,SUNRISER CHRISTIAN SCHOOL,BIE,"T.Conder Street, Centro","Placer, Masbate",, ,
01-DM-000157,TEACHER ELLA'S TUTORIAL CENTER,BIE,"Pajarillo Ave.,","Villa Rosario Subd., Tiaong, Quezon",, ,
01-DM-000065,LINKAGE SOUTH LEARNING CENTER,BIE,"43 Capisonda St.,","Gumaca, Quezon",, ,
01-DH-000033,ST. GERARD LEARNING SCHOOL-ANNEX,BIE,"PE Nadres St.,Ibabang,","Iyam, Lucena City",, ,LCAPS
01-EG-000003,THEOTOKOS ORTHODOX KINDERGARTEN,BIE,,,, ,
01-EI-000050,ST. LAWRENCE THE DEACON LRNG. CTR.,BIE,,"Prieto Diaz, Sorsogon City",, ,
01-EG-000007,IMMACULATE CONCEPCION ACADEMY (HS),BIE,,, ,Masbate,
01-DH-000034,ST. GERARD SCHOOL (MAIN),BIE,"Nadres St, Iyam",Lucena City,, ,LCAPS
01-EA-000081,CROSS ASIA ACADEMY,BIE,"Washington St.,","Binatagan, Ligao City, Albay",, ,
01-DM-000007,CALAUAG MONTESSORI SCHOOL,BIE,"022 Gen. Luna St., Brgy Liwayway","Odiongan, Romblon", , ,
01-DM-000122,RRQ CLEVER ANGELS'S LEARNING CENTER,BIE,"Maharlika Hiway,","Lusacan, Tiaong, Quezon",, ,
01-DM-000019,CHRISTIAN CHILDREN LRNG. CTR.,BIE,(Formerly: X'tian Kiddie Sch.),"45 Rizal St., Mauban, Quezon",,,
01-EH-000043,NAGA VIEW ADVENTIST COLLEGE,BIE,"Panicuason,","Panicuason, Naga City",, ,
01-EF-000032,PRO 5 CHILDREN'S LRNG CTR.(02-EA-000080),BIE,"Camp General Simeon A. Ola,",Legazpi City,,,
01-DM-000155,TAYABAS KIDDIE SCHOOL,BIE,"C.M. Recto St.,","Tayabas, Quezon",, ,
01-DM-000076,LUV 'N LERN CHILDCARE & LRNG. CTR.,BIE,"Nanagas Estate I, Calmar Subd.,","L.Q. Lucban, Quezon",, ,LUPRISA
01-EF-000030,WASHINGTON INTERNATION SCHOOL,BIE,,,, ,
01-EC-000068,ST. ANNE PARISH KINDERGARTEN SCHOOL,BIE,"San Isidro,","Magarao, Camarines Sur",, ,
01-EA-000032,INT'L DEVELOPMENT ACADEMY(MORANTE DEVELOPMENT ACADEMY),BIE,"272 T. Perez St.,","4501 Daraga, Albay",, ,
01-EA-000066,ST. NICHOLS LEARNING CENTER,BIE,"#38 Bombon,","Tabaco City, Albay",, ,
01-EB-000002,APOSTLESHIP OF PRAYER SCHOOL,BIE,,"Labo, Camarines Norte",, ,
01-EI-000047,ST. JEROME ACADEMY,BIE,"Somasca Ave., Our Lady's Village,","Pangpang, Sorsogon, Sorsogon City",MS,Sorsogon,
01-EF-000019,MISSION MONTESSORI CHILD CENTER,BIE,"5TH St., Our Lady's Village,","Bitano, Legazpi City",, ,
01-DM-000017,CHILD JESUS OF NAZARETH SCHOOL,BIE,,"Padre Burgos, Quezon",, ,LUDICSA
01-ED-000006,REAPERS BAPTIST LEARNING CENTER,BIE,"Sta. Elena, (near Sta. Elena Chapel)","Virac, Catanduanes",, ,
01-EA-000037,LOVING CARE LEARNING CENTER,BIE,Postol,"Daraga, Albay",, ,
01-EA-000008,C.O.L.O.R.S. PRE-SCHOOL,BIE,Children's Only Lab. of Readiness Skills,"Purok 7, Panal, Tabaco City, Albay",, ,
01-EB-000040,VINZON'S CHRISTIAN ACADEMY,BIE,,Vinzon's Camarines Norte,, ,
01-EI-000042,SOLIS INSTITUTE,BIE,,"Bulan, Sorsogon",, ,
01-EA-000080,"PRO 5 CHILDREN'S LEARNING CENTER, INC.",BIE,,,, ,
01-EH-000014,JUMELS LEARNING CENTER,BIE,"106 Jacob St.,",Naga City,, ,
01-EA-000078,WILFRED LEARNING CENTER,BIE,"Mahogany St.,","Happy Homes Subd., Tabaco City, Albay",, ,
